statement,truth_value,category,source
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
47² = 2225,falso,matematicas,variaciones_matematicas
La caída del Muro de Berlín fue en 1989,verdadero,historia,basico
La suma de los ángulos de un cuadrilátero es 360°,verdadero,matematicas,matematicas_adicional
164 × 72 = 11808,verdadero,matematicas,variaciones_matematicas
39 + 61 + 47 = 160,falso,matematicas,variaciones_matematicas
90 - 18 = 82,falso,matematicas,generador_masivo
(105 + 44) × 29 = 4321,verdadero,matematicas,variaciones_matematicas
16 × 34 = 544,verdadero,matematicas,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
Pretoria no es la capital de Sudáfrica,falso,geografia,generador_masivo
75 - 9 = 68,falso,matematicas,generador_masivo
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
60² = 3611,falso,matematicas,variaciones_matematicas
134 - 56 = 78,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 206 huesos,verdadero,ciencia,generador_masivo
(8 + 49) × 48 = 2736,verdadero,matematicas,variaciones_matematicas
Un kilobyte no tiene 1024 bytno es,falso,tecnologia,basico
67 × 30 = 2015,falso,matematicas,generador_masivo
La fórmula del área de un triángulo no es (b×h)/2,falso,matematicas,matematicas_adicional
33 × 48 = 1584,verdadero,matematicas,variaciones_matematicas
Ciudad de México es la capital de México,verdadero,geografia,generador_masivo
94 ÷ 46 = 2,verdadero,matematicas,variaciones_matematicas
23 + 75 + 16 = 125,falso,matematicas,variaciones_matematicas
11 + 30 = 41,verdadero,matematicas,variaciones_matematicas
El punto de ebullición del alcohol es 78.37°C,verdadero,ciencia,variaciones_cientificas
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
131 + 29 = 166,falso,matematicas,variaciones_matematicas
68 + 34 = 102,verdadero,matematicas,generador_masivo
28 + 56 = 93,falso,matematicas,variaciones_matematicas
83² = 6908,falso,matematicas,variaciones_matematicas
83 ÷ 32 = 2,verdadero,matematicas,generador_masivo
√4225 = 83,falso,matematicas,variaciones_matematicas
√10404 = 102,verdadero,matematicas,variaciones_matematicas
38² = 1448,falso,matematicas,variaciones_matematicas
110 ÷ 65 = 1,verdadero,matematicas,variaciones_matematicas
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
158 ÷ 62 = 2,verdadero,matematicas,variaciones_matematicas
111 × 92 = 10212,verdadero,matematicas,variaciones_matematicas
1 ÷ 29 = 3,falso,matematicas,variaciones_matematicas
10 × 37 = 380,falso,matematicas,generador_masivo
154 + 30 = 193,falso,matematicas,variaciones_matematicas
62 × 35 = 2174,falso,matematicas,generador_masivo
37 - 70 = -17,falso,matematicas,variaciones_matematicas
147 ÷ 38 = 3,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 206 huesos,verdadero,ciencia,generador_masivo
20 × 34 = 680,verdadero,matematicas,generador_masivo
(194 + 46) × 6 = 1451,falso,matematicas,variaciones_matematicas
159 × 5 = 795,verdadero,matematicas,variaciones_matematicas
196 + 63 + 43 = 302,verdadero,matematicas,variaciones_matematicas
153 - 4 = 160,falso,matematicas,variaciones_matematicas
(187 + 26) × 9 = 1917,verdadero,matematicas,variaciones_matematicas
√28224 = 173,falso,matematicas,variaciones_matematicas
91 + 87 + 29 = 211,falso,matematicas,variaciones_matematicas
118² = 13944,falso,matematicas,variaciones_matematicas
37 - 93 = -56,verdadero,matematicas,variaciones_matematicas
164 + 77 = 242,falso,matematicas,variaciones_matematicas
117 + 31 = 148,verdadero,matematicas,variaciones_matematicas
(152 + 64) × 47 = 10154,falso,matematicas,variaciones_matematicas
79 × 2 = 162,falso,matematicas,generador_masivo
52 ÷ 51 = 1,verdadero,matematicas,variaciones_matematicas
El corazón humano late 60-100 veces por minuto,verdadero,ciencia,generador_masivo
84 - 14 = 76,falso,matematicas,generador_masivo
153 - 60 = 93,verdadero,matematicas,variaciones_matematicas
30 + 36 = 71,falso,matematicas,generador_masivo
173 + 64 + 15 = 260,falso,matematicas,variaciones_matematicas
√12321 = 111,verdadero,matematicas,variaciones_matematicas
160² = 25600,verdadero,matematicas,variaciones_matematicas
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
78 - 10 = 68,verdadero,matematicas,variaciones_matematicas
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
El corazón humano late 60-100 veces por minuto,verdadero,ciencia,generador_masivo
98 × 25 = 2450,verdadero,matematicas,generador_masivo
(15 + 85) × 50 = 5001,falso,matematicas,variaciones_matematicas
150 ÷ 46 = 3,verdadero,matematicas,variaciones_matematicas
(157 + 94) × 17 = 4287,falso,matematicas,variaciones_matematicas
√9216 = 108,falso,matematicas,variaciones_matematicas
85 ÷ 25 = 3,verdadero,matematicas,variaciones_matematicas
57 ÷ 85 = 0,verdadero,matematicas,variaciones_matematicas
159 × 96 = 15275,falso,matematicas,variaciones_matematicas
La fórmula del área de un triángulo es (b×h)/2,verdadero,matematicas,matematicas_adicional
67 × 44 = 2956,falso,matematicas,generador_masivo
El corazón humano late 60-100 veces por minuto,verdadero,ciencia,generador_masivo
√15876 = 126,verdadero,matematicas,variaciones_matematicas
Docker permite contenerización de aplicacionno es,falso,tecnologia,tecnologia_adicional
54 + 44 = 105,falso,matematicas,generador_masivo
"La velocidad de la luz no es 299,792,458 m/s",falso,ciencia,ciencia_adicional
9 - 18 = -9,verdadero,matematicas,generador_masivo
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
(31 + 13) × 45 = 1980,verdadero,matematicas,variaciones_matematicas
70 ÷ 36 = 2,falso,matematicas,generador_masivo
80 + 19 = 99,verdadero,matematicas,generador_masivo
Node.js permite JavaScript en el servidor,verdadero,tecnologia,variaciones_tecnologicas
40 + 67 + 20 = 142,falso,matematicas,variaciones_matematicas
28 ÷ 16 = 10,falso,matematicas,generador_masivo
√1 = 4,falso,matematicas,variaciones_matematicas
94 + 60 = 154,verdadero,matematicas,variaciones_matematicas
92² = 8484,falso,matematicas,variaciones_matematicas
173 ÷ 33 = 5,verdadero,matematicas,variaciones_matematicas
164² = 26897,falso,matematicas,variaciones_matematicas
98² = 9604,verdadero,matematicas,variaciones_matematicas
86² = 7396,verdadero,matematicas,variaciones_matematicas
171 × 27 = 4617,verdadero,matematicas,variaciones_matematicas
67 ÷ 37 = 9,falso,matematicas,generador_masivo
4 - 10 = 3,falso,matematicas,generador_masivo
81 + 10 + 8 = 110,falso,matematicas,variaciones_matematicas
(130 + 42) × 42 = 7226,falso,matematicas,variaciones_matematicas
71 - 41 = 30,verdadero,matematicas,generador_masivo
"El radio de la Tierra es 6,371 km",verdadero,ciencia,ciencia_adicional
Hitler llegó al poder en Alemania en 2026,falso,historia,generador_masivo
124 × 38 = 4719,falso,matematicas,variaciones_matematicas
3 - 35 = -32,verdadero,matematicas,generador_masivo
144 ÷ 44 = 6,falso,matematicas,variaciones_matematicas
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
29 - 42 = -11,falso,matematicas,generador_masivo
(39 + 55) × 36 = 3392,falso,matematicas,variaciones_matematicas
173 ÷ 34 = 5,verdadero,matematicas,variaciones_matematicas
97 + 39 = 143,falso,matematicas,generador_masivo
El hierro ebullicion a 2862°C,verdadero,ciencia,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
Canadá está en América del Norte,verdadero,geografia,generador_masivo
17 + 44 = 68,falso,matematicas,generador_masivo
√4489 = 67,verdadero,matematicas,variaciones_matematicas
Microservicios dividen aplicacionno es en servicios,falso,tecnologia,tecnologia_adicional
195 - 45 = 165,falso,matematicas,variaciones_matematicas
23 + 18 = 41,verdadero,matematicas,generador_masivo
90 × 67 = 6037,falso,matematicas,variaciones_matematicas
146 - 7 = 139,verdadero,matematicas,variaciones_matematicas
69 - 87 = -11,falso,matematicas,variaciones_matematicas
(177 + 30) × 11 = 2277,verdadero,matematicas,variaciones_matematicas
82 × 5 = 413,falso,matematicas,generador_masivo
93 ÷ 54 = 1,verdadero,matematicas,variaciones_matematicas
23 - 16 = 8,falso,matematicas,generador_masivo
28 - 27 = 1,verdadero,matematicas,generador_masivo
74 - 78 = 2,falso,matematicas,variaciones_matematicas
7 - 12 = -2,falso,matematicas,generador_masivo
25 ÷ 17 = 1,verdadero,matematicas,generador_masivo
86² = 7396,verdadero,matematicas,variaciones_matematicas
81 + 6 + 5 = 92,verdadero,matematicas,variaciones_matematicas
82 × 30 = 2460,verdadero,matematicas,generador_masivo
√36 = 16,falso,matematicas,variaciones_matematicas
44 + 38 = 82,verdadero,matematicas,generador_masivo
55 ÷ 40 = 1,verdadero,matematicas,variaciones_matematicas
2 × 50 = 100,verdadero,matematicas,generador_masivo
130² = 16920,falso,matematicas,variaciones_matematicas
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
49 ÷ 92 = 0,verdadero,matematicas,variaciones_matematicas
20 × 70 = 1400,verdadero,matematicas,variaciones_matematicas
174² = 30276,verdadero,matematicas,variaciones_matematicas
"México tiene una población de 134,098,816 habitantes",falso,geografia,generador_masivo
6 - 8 = 1,falso,matematicas,generador_masivo
"El río Amazonas tiene 6,400 km de longitud",verdadero,geografia,variaciones_geograficas
El corazón humano late 60-100 vecno es por minuto,falso,ciencia,generador_masivo
122² = 14901,falso,matematicas,variaciones_matematicas
199 + 2 + 5 = 206,verdadero,matematicas,variaciones_matematicas
9 ÷ 61 = 0,verdadero,matematicas,variaciones_matematicas
√28900 = 189,falso,matematicas,variaciones_matematicas
46 + 7 = 66,falso,matematicas,variaciones_matematicas
42 - 47 = 13,falso,matematicas,variaciones_matematicas
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
80 - 44 = 36,verdadero,matematicas,variaciones_matematicas
32 ÷ 10 = 3,verdadero,matematicas,generador_masivo
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
18 ÷ 8 = 10,falso,matematicas,generador_masivo
√25281 = 179,falso,matematicas,variaciones_matematicas
El asteroide 199003 (2005 WJ56) tiene un diámetro aproximado de 1.39 km,verdadero,astronomia,nasa
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
28 ÷ 86 = 16,falso,matematicas,variaciones_matematicas
C++ es un lenguaje de bajo nivel,verdadero,tecnologia,generador_masivo
30² = 900,verdadero,matematicas,variaciones_matematicas
Roma es la capital de Italia,verdadero,geografia,basico
82 ÷ 3 = 27,verdadero,matematicas,generador_masivo
√169 = 15,falso,matematicas,variaciones_matematicas
√1296 = 36,verdadero,matematicas,variaciones_matematicas
34 + 14 = 48,verdadero,matematicas,variaciones_matematicas
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
45 × 11 = 500,falso,matematicas,generador_masivo
(178 + 60) × 17 = 4064,falso,matematicas,variaciones_matematicas
25² = 642,falso,matematicas,variaciones_matematicas
La temperatura corporal normal no es 37°C,falso,ciencia,generador_masivo
40² = 1603,falso,matematicas,variaciones_matematicas
49 - 24 = 35,falso,matematicas,generador_masivo
132 × 82 = 10824,verdadero,matematicas,variaciones_matematicas
148 + 38 = 186,verdadero,matematicas,variaciones_matematicas
86 × 15 = 1294,falso,matematicas,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
(112 + 9) × 2 = 242,verdadero,matematicas,variaciones_matematicas
88 - 17 = 76,falso,matematicas,variaciones_matematicas
86 - 10 = 80,falso,matematicas,variaciones_matematicas
(127 + 73) × 34 = 6804,falso,matematicas,variaciones_matematicas
71 × 48 = 3408,verdadero,matematicas,generador_masivo
77 × 33 = 2541,verdadero,matematicas,variaciones_matematicas
La suma de los ángulos de un triángulo no es 180°,falso,matematicas,matematicas_adicional
39 + 61 + 47 = 147,verdadero,matematicas,variaciones_matematicas
47 + 9 = 58,falso,matematicas,generador_masivo
45 ÷ 49 = 0,verdadero,matematicas,generador_masivo
161² = 25921,verdadero,matematicas,variaciones_matematicas
7 - 15 = -8,verdadero,matematicas,variaciones_matematicas
167 - 93 = 74,verdadero,matematicas,variaciones_matematicas
188² = 35344,verdadero,matematicas,variaciones_matematicas
13 × 11 = 154,falso,matematicas,variaciones_matematicas
El asteroide (2021 QC3) tiene un diámetro aproximado de 0.08 km,verdadero,astronomia,nasa
(39 + 71) × 11 = 1221,falso,matematicas,variaciones_matematicas
61 + 43 = 111,falso,matematicas,generador_masivo
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
7 + 24 = 37,falso,matematicas,generador_masivo
188 × 82 = 15416,verdadero,matematicas,variaciones_matematicas
34 × 41 = 1400,falso,matematicas,generador_masivo
64 × 100 = 6400,verdadero,matematicas,variaciones_matematicas
√17161 = 131,verdadero,matematicas,variaciones_matematicas
141 - 81 = 80,falso,matematicas,variaciones_matematicas
28 ÷ 9 = 3,verdadero,matematicas,generador_masivo
29 × 45 = 1305,verdadero,matematicas,generador_masivo
94 + 5 = 99,verdadero,matematicas,generador_masivo
64 × 100 = 6403,falso,matematicas,variaciones_matematicas
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
28 × 3 = 84,verdadero,matematicas,generador_masivo
El asteroide (2021 UO1) tiene un diámetro aproximado de 0.01 km,verdadero,astronomia,nasa
101 ÷ 39 = 7,falso,matematicas,variaciones_matematicas
100 - 57 = 63,falso,matematicas,variaciones_matematicas
184² = 33856,verdadero,matematicas,variaciones_matematicas
37 ÷ 50 = 0,verdadero,matematicas,variaciones_matematicas
3 ÷ 7 = 0,verdadero,matematicas,variaciones_matematicas
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
El Cairo es la capital de Egipto,verdadero,geografia,generador_masivo
20 × 34 = 687,falso,matematicas,generador_masivo
51 + 29 + 1 = 81,verdadero,matematicas,variaciones_matematicas
La Primera Guerra Mundial fue de 1914-1918,verdadero,historia,basico
El corazón humano late 60-100 veces por minuto,verdadero,ciencia,generador_masivo
150 ÷ 46 = 20,falso,matematicas,variaciones_matematicas
159 ÷ 33 = 4,verdadero,matematicas,variaciones_matematicas
200 ÷ 5 = 40,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
"La prno esión atmosférica no es 101,325 Pa",falso,ciencia,ciencia_adicional
154 + 30 = 184,verdadero,matematicas,variaciones_matematicas
43² = 1849,verdadero,matematicas,variaciones_matematicas
El asteroide (2021 UH2) tiene un diámetro aproximado de 0.06 km,verdadero,astronomia,nasa
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
12 - 29 = -8,falso,matematicas,generador_masivo
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
167 ÷ 41 = 5,falso,matematicas,variaciones_matematicas
√121 = 11,verdadero,matematicas,variaciones_matematicas
El asteroide (2024 HY) tiene un diámetro aproximado de 0.11 km,verdadero,astronomia,nasa
173 - 87 = 100,falso,matematicas,variaciones_matematicas
200² = 40009,falso,matematicas,variaciones_matematicas
(135 + 87) × 49 = 10878,verdadero,matematicas,variaciones_matematicas
Los humanos tienen 206 huesos,verdadero,ciencia,generador_masivo
139 + 62 + 23 = 244,falso,matematicas,variaciones_matematicas
55 + 4 = 66,falso,matematicas,generador_masivo
70 × 75 = 5250,verdadero,matematicas,variaciones_matematicas
53 × 15 = 812,falso,matematicas,variaciones_matematicas
17 + 44 = 61,verdadero,matematicas,generador_masivo
17 × 14 = 247,falso,matematicas,generador_masivo
"La distancia Tierra-Luna es 384,400 km",verdadero,ciencia,ciencia_adicional
(104 + 97) × 42 = 8442,verdadero,matematicas,variaciones_matematicas
200 + 38 + 7 = 245,verdadero,matematicas,variaciones_matematicas
86 - 37 = 49,verdadero,matematicas,generador_masivo
91 × 21 = 1920,falso,matematicas,generador_masivo
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
19 ÷ 33 = 0,verdadero,matematicas,generador_masivo
84 × 21 = 1764,verdadero,matematicas,generador_masivo
55 × 46 = 2535,falso,matematicas,generador_masivo
Moscú es la capital de Rusia,verdadero,geografia,generador_masivo
83 ÷ 28 = 2,verdadero,matematicas,generador_masivo
√4624 = 71,falso,matematicas,variaciones_matematicas
64 + 10 = 84,falso,matematicas,generador_masivo
"Reino Unido tiene una población de 67,886,011 habitantes",verdadero,geografia,generador_masivo
103 - 96 = 8,falso,matematicas,variaciones_matematicas
35 + 86 = 125,falso,matematicas,variaciones_matematicas
47 + 85 = 132,verdadero,matematicas,variaciones_matematicas
85 ÷ 30 = 6,falso,matematicas,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
160 - 76 = 97,falso,matematicas,variaciones_matematicas
12² = 144,verdadero,matematicas,variaciones_matematicas
√33124 = 194,falso,matematicas,variaciones_matematicas
84 × 19 = 1605,falso,matematicas,generador_masivo
105 ÷ 21 = 5,verdadero,matematicas,variaciones_matematicas
√1764 = 43,falso,matematicas,variaciones_matematicas
(93 + 41) × 4 = 556,falso,matematicas,variaciones_matematicas
188 × 4 = 769,falso,matematicas,variaciones_matematicas
57 - 19 = 47,falso,matematicas,generador_masivo
125 + 97 + 46 = 268,verdadero,matematicas,variaciones_matematicas
182 ÷ 42 = 13,falso,matematicas,variaciones_matematicas
√16641 = 138,falso,matematicas,variaciones_matematicas
Kubernetes orquesta contenedores,verdadero,tecnologia,generador_masivo
159 - 98 = 65,falso,matematicas,variaciones_matematicas
(185 + 56) × 4 = 976,falso,matematicas,variaciones_matematicas
79 × 23 = 1823,falso,matematicas,generador_masivo
9 ÷ 20 = 6,falso,matematicas,generador_masivo
Los humanos tienen 206 huesos,verdadero,ciencia,generador_masivo
118 - 29 = 102,falso,matematicas,variaciones_matematicas
La masa de la Tierra no es 5.97 × 10²⁴ kg,falso,ciencia,ciencia_adicional
TCP/IP es el protocolo de internet,verdadero,tecnologia,tecnologia_adicional
HTTP no es un protocolo de transferencia,falso,tecnologia,tecnologia_adicional
144 + 50 = 194,verdadero,matematicas,variaciones_matematicas
44 + 36 = 80,verdadero,matematicas,generador_masivo
√3249 = 57,verdadero,matematicas,variaciones_matematicas
39 ÷ 33 = 21,falso,matematicas,variaciones_matematicas
50 - 21 = 29,verdadero,matematicas,generador_masivo
Kubernetes orquno esta contenedorno es,falso,tecnologia,generador_masivo
√7396 = 90,falso,matematicas,variaciones_matematicas
35 + 55 + 35 = 144,falso,matematicas,variaciones_matematicas
(119 + 12) × 37 = 4860,falso,matematicas,variaciones_matematicas
26 ÷ 33 = 0,verdadero,matematicas,generador_masivo
El oxígeno es necesario para la respiración,verdadero,ciencia,basico
(178 + 60) × 17 = 4046,verdadero,matematicas,variaciones_matematicas
3 - 35 = -28,falso,matematicas,generador_masivo
56 ÷ 29 = 4,falso,matematicas,variaciones_matematicas
15 + 94 = 109,verdadero,matematicas,variaciones_matematicas
80 × 42 = 3369,falso,matematicas,generador_masivo
√24336 = 156,verdadero,matematicas,variaciones_matematicas
44 × 79 = 3476,verdadero,matematicas,variaciones_matematicas
43 - 93 = -50,verdadero,matematicas,variaciones_matematicas
153 - 5 = 148,verdadero,matematicas,variaciones_matematicas
81 ÷ 3 = 29,falso,matematicas,variaciones_matematicas
81 + 97 = 178,verdadero,matematicas,variaciones_matematicas
197² = 38809,verdadero,matematicas,variaciones_matematicas
68 - 56 = 12,verdadero,matematicas,variaciones_matematicas
(39 + 32) × 8 = 572,falso,matematicas,variaciones_matematicas
7 + 43 = 68,falso,matematicas,variaciones_matematicas
77 × 46 = 3543,falso,matematicas,variaciones_matematicas
104 - 88 = 16,verdadero,matematicas,variaciones_matematicas
√9409 = 102,falso,matematicas,variaciones_matematicas
El corazón humano late 60-100 vecno es por minuto,falso,ciencia,generador_masivo
(15 + 52) × 33 = 2211,verdadero,matematicas,variaciones_matematicas
142 × 47 = 6674,verdadero,matematicas,variaciones_matematicas
73² = 5343,falso,matematicas,variaciones_matematicas
3 × 87 = 261,verdadero,matematicas,variaciones_matematicas
140 ÷ 82 = 6,falso,matematicas,variaciones_matematicas
188 × 82 = 15435,falso,matematicas,variaciones_matematicas
64 × 5 = 322,falso,matematicas,generador_masivo
JavaScript es un lenguaje de programación,verdadero,tecnologia,generador_masivo
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
59 × 77 = 4543,verdadero,matematicas,variaciones_matematicas
54 ÷ 5 = 10,verdadero,matematicas,generador_masivo
48 × 50 = 2418,falso,matematicas,variaciones_matematicas
24 × 33 = 792,verdadero,matematicas,variaciones_matematicas
88 - 17 = 71,verdadero,matematicas,variaciones_matematicas
CSS no se usa para no estilos,falso,tecnologia,generador_masivo
80 × 26 = 2081,falso,matematicas,generador_masivo
57 - 37 = 26,falso,matematicas,generador_masivo
5 × 5 = 25,verdadero,matematicas,basico
181 + 26 + 20 = 235,falso,matematicas,variaciones_matematicas
(72 + 14) × 23 = 1995,falso,matematicas,variaciones_matematicas
43 + 20 = 63,verdadero,matematicas,generador_masivo
30 × 9 = 280,falso,matematicas,generador_masivo
(168 + 88) × 47 = 12032,verdadero,matematicas,variaciones_matematicas
103 + 63 = 174,falso,matematicas,variaciones_matematicas
Los humanos tienen 5 sentidos,verdadero,ciencia,generador_masivo
163 + 18 + 9 = 190,verdadero,matematicas,variaciones_matematicas
El asteroide 415949 (2001 XY10) tiene un diámetro aproximado de 0.79 km,verdadero,astronomia,nasa
100 ÷ 12 = 8,verdadero,matematicas,generador_masivo
54 + 7 + 45 = 106,verdadero,matematicas,variaciones_matematicas
15 + 96 + 47 = 161,falso,matematicas,variaciones_matematicas
82 ÷ 2 = 41,verdadero,matematicas,generador_masivo
113 ÷ 46 = 14,falso,matematicas,variaciones_matematicas
√20736 = 147,falso,matematicas,variaciones_matematicas
103 - 12 = 103,falso,matematicas,variaciones_matematicas
27 + 49 = 80,falso,matematicas,generador_masivo
160 + 53 + 4 = 217,verdadero,matematicas,variaciones_matematicas
45² = 2025,verdadero,matematicas,variaciones_matematicas
√11236 = 106,verdadero,matematicas,variaciones_matematicas
(58 + 15) × 31 = 2265,falso,matematicas,variaciones_matematicas
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
72 + 28 = 102,falso,matematicas,generador_masivo
114 + 5 = 119,verdadero,matematicas,variaciones_matematicas
176² = 30976,verdadero,matematicas,variaciones_matematicas
Un kilobyte tiene 1024 bytes,verdadero,tecnologia,basico
París no es la capital de Francia,falso,geografia,basico
150 + 13 = 163,verdadero,matematicas,variaciones_matematicas
(70 + 51) × 13 = 1578,falso,matematicas,variaciones_matematicas
47 + 43 + 24 = 114,verdadero,matematicas,variaciones_matematicas
117 + 16 + 7 = 140,verdadero,matematicas,variaciones_matematicas
92 - 25 = 67,verdadero,matematicas,generador_masivo
Sídney es una ciudad de Australia,verdadero,geografia,generador_masivo
62 ÷ 23 = 5,falso,matematicas,generador_masivo
√1681 = 47,falso,matematicas,variaciones_matematicas
El asteroide (2016 GZ215) tiene un diámetro aproximado de 0.36 km,verdadero,astronomia,nasa
6 - 47 = -41,verdadero,matematicas,variaciones_matematicas
84 × 10 = 841,falso,matematicas,generador_masivo
10 × 32 = 320,verdadero,matematicas,generador_masivo
38 × 7 = 272,falso,matematicas,generador_masivo
20 ÷ 36 = 7,falso,matematicas,generador_masivo
61 ÷ 52 = 1,verdadero,matematicas,variaciones_matematicas
√3969 = 63,verdadero,matematicas,variaciones_matematicas
La Revolución Industrial comenzó en el siglo XVIII,falso,historia,basico
6 + 58 = 79,falso,matematicas,variaciones_matematicas
137² = 18777,falso,matematicas,variaciones_matematicas
124 - 96 = 42,falso,matematicas,variaciones_matematicas
El corazón humano late 60-100 vecno es por minuto,falso,ciencia,generador_masivo
Bluetooth no es una tecnología de comunicación inalámbrica,falso,tecnologia,basico
178 + 59 + 19 = 256,verdadero,matematicas,variaciones_matematicas
71 - 19 = 57,falso,matematicas,generador_masivo
151 + 37 + 50 = 245,falso,matematicas,variaciones_matematicas
102 - 66 = 36,verdadero,matematicas,variaciones_matematicas
67 + 55 = 122,verdadero,matematicas,variaciones_matematicas
42 + 17 = 68,falso,matematicas,generador_masivo
√11236 = 106,verdadero,matematicas,variaciones_matematicas
1 ÷ 45 = 5,falso,matematicas,generador_masivo
(135 + 74) × 46 = 9628,falso,matematicas,variaciones_matematicas
119 + 50 = 172,falso,matematicas,variaciones_matematicas
26 ÷ 22 = 1,verdadero,matematicas,generador_masivo
Madrid no es la capital de España,falso,geografia,generador_masivo
152 ÷ 18 = 8,verdadero,matematicas,variaciones_matematicas
El asteroide (2023 UE4) tiene un diámetro aproximado de 0.27 km,verdadero,astronomia,nasa
√2116 = 55,falso,matematicas,variaciones_matematicas
36 - 42 = 3,falso,matematicas,generador_masivo
92 - 25 = 77,falso,matematicas,generador_masivo
7 + 89 + 48 = 154,falso,matematicas,variaciones_matematicas
El punto de ebullición del nitrógeno es -196°C,verdadero,ciencia,ciencia_adicional
HTTP significa HyperText Transport Protocol,falso,tecnologia,generador_masivo
√676 = 42,falso,matematicas,variaciones_matematicas
71² = 5041,verdadero,matematicas,variaciones_matematicas
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
(169 + 82) × 37 = 9290,falso,matematicas,variaciones_matematicas
29² = 841,verdadero,matematicas,variaciones_matematicas
55 ÷ 40 = 2,falso,matematicas,variaciones_matematicas
Los humanos no tienen 206 huno esos,falso,ciencia,generador_masivo
(29 + 6) × 22 = 770,verdadero,matematicas,variaciones_matematicas
15 ÷ 3 = 6,falso,matematicas,basico
67 × 89 = 5975,falso,matematicas,variaciones_matematicas
114 + 38 + 31 = 189,falso,matematicas,variaciones_matematicas
"La velocidad de la luz es 299,792,458 m/s",verdadero,ciencia,ciencia_adicional
77 - 19 = 68,falso,matematicas,generador_masivo
48 ÷ 41 = 1,verdadero,matematicas,generador_masivo
159 + 14 + 14 = 190,falso,matematicas,variaciones_matematicas
138 - 17 = 121,verdadero,matematicas,variaciones_matematicas
80 - 44 = 42,falso,matematicas,variaciones_matematicas
159 ÷ 33 = 19,falso,matematicas,variaciones_matematicas
102 + 21 + 47 = 188,falso,matematicas,variaciones_matematicas
(12 + 27) × 39 = 1525,falso,matematicas,variaciones_matematicas
El corazón humano late 60-100 vecno es por minuto,falso,ciencia,generador_masivo
(6 + 57) × 13 = 819,verdadero,matematicas,variaciones_matematicas
81 × 25 = 2025,verdadero,matematicas,generador_masivo
(89 + 30) × 37 = 4403,verdadero,matematicas,variaciones_matematicas
La constante planck es 6.626e-34,verdadero,ciencia,generador_masivo
175² = 30627,falso,matematicas,variaciones_matematicas
El hierro congelacion a 1538°C,verdadero,ciencia,generador_masivo
74 × 21 = 1554,verdadero,matematicas,generador_masivo
100 - 57 = 43,verdadero,matematicas,variaciones_matematicas
94 ÷ 71 = 8,falso,matematicas,variaciones_matematicas
94 × 61 = 5741,falso,matematicas,variaciones_matematicas
187 + 45 + 36 = 268,verdadero,matematicas,variaciones_matematicas
19² = 361,verdadero,matematicas,variaciones_matematicas
51 + 29 = 80,verdadero,matematicas,generador_masivo
35 + 40 = 75,verdadero,matematicas,generador_masivo
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
24² = 585,falso,matematicas,variaciones_matematicas
39 ÷ 24 = 1,verdadero,matematicas,generador_masivo
Berlín es la capital de Alemania,verdadero,geografia,basico
23 ÷ 22 = 10,falso,matematicas,generador_masivo
√4356 = 66,verdadero,matematicas,variaciones_matematicas
193 + 33 = 236,falso,matematicas,variaciones_matematicas
"Francia tiene una población de 67,391,582 habitantes",verdadero,geografia,generador_masivo
105 ÷ 11 = 9,verdadero,matematicas,variaciones_matematicas
SQL es un lenguaje de bases de datos,verdadero,tecnologia,generador_masivo
